Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
家,가,집,,"家長 - 가장 (patriarch)
家族 - 가족 (family)
國家 - 국가 (state)
國家的 - 국가적 (national, state)
大家族 - 대가족 (big family)
歷史家 - 역사가 (historian)
","宀, 豕",7II,6
佳,가,아름다울,,,"化, 土",3II,2
街,가,거리,,"街路 - 가로 (street)
街路燈 - 가로등 (a street light)
舊市街地 - 구시가지 (an old section of a city)
街路樹 - 가로수 (a roadside tree)
新市街地 - 신시가지 (a new section of a city)
","土, 彳, 行",4II,3II
可,가,옳을,,"可能 - 가능 (possibility)
可能- - 가능하다 (to be possible)
可能- - 가능해지다 (to become possible)
可能性 - 가능성 (potentiality)
認可 - 인가 (license)
不可能- - 불가능하다 (impossible)
","一, 亅, 口",5,4
歌,가,노래,,"哀歌 - 애가 (elegy)
歌謠 - 가요 (a song)
歌手 - 가수 (singer)
歌詞 - 가사 (words, lyrics)
聖歌 - 성가 (chant)
唱歌 - 창가 (song)
","亅, 口, 欠",7,6
加,가,더할,,"追加 - 추가 (an addition)
追加- - 추가하다 (to add sth, to supplement)
追加- - 추가되다 (to be added)
加數 - 가수 (addend)
加入 - 가입 (join (a membership))
參加 - 참가 (participation)
","力, 口",5,4
價,가,값,,"價格 - 가격 (cost)
評價 - 평가 (valuation)
價値 - 가치 (value)
再評價 - 재평가 (reappraisal)
代價 - 대가 (price)
市價 - 시가 (market price)
","化, 西, 貝",5II,4II
假,가,거짓,,"假裝 - 가장 (masquerade)
假裝 - 가장하다 (masquerade)
假數 - 가수 (mantissa)
假定 - 가정 (supposition)
假想 - 가상 (imagination)
假- - 가짜 (fake, forgery, imitation, counterfeit)
","｜, 化, 又","Reading error 假, 7","Writing error 假, 7"
架,가,시렁,,"十字架 - 십자가 (cross)
書架 - 서가 (bookshelf)
","力, 口, 木",3II,2
暇,가,겨를,,"休暇 - 휴가 (furlough)
閑暇- - 한가하다 (to be free, not busy)
餘暇 - 여가 (leisure)
賜暇 - 사가 (furlough)
","又, 日",4,3
各,각,각각,,"各 - 각 (each; every)
各各 - 각각 (respectively)
各種 - 각종 (all sorts, all varieties)
各自 - 각자 (each one, every one)
各國 - 각국 (every country)
各其 - 각기 (each, respectively)
","口, 夂, 攵",6II,5II
角,각,뿔,,"角速度 - 각속도 (angular velocity)
視角 - 시각 (angle/point of view)
角度 - 각도 (angle)
內角 - 내각 (interior angle)
總角 - 총각 (a bachelor, a single man)
角膜 - 각막 (cornea)
","｜, 勹, 月, 角",6II,5II
脚,각,다리,,"脚氣 - 각기 (beriberi)
脚本 - 각본 (scenario)
三脚 - 삼각 (tripod)
脚注 - 각주 (footnote)
脚光 - 각광 (footlights)
脚絆 - 각반 (gaiter)
","卩, 厶, 土, 月",3II,2
閣,각,누각,,,"口, 夂, 門",3II,2
却,각,물리칠,,"賣却 - 매각 (sale)
冷却 - 냉각 (refrigeration)
却下 - 각하 (rejection)
退却 - 퇴각 (retreat)
退却 - 퇴각하다 (retreat)
燒却 - 소각 (incineration)
","卩, 厶, 土",3,2
覺,각,깨달을,,"視覺 - 시각 (vision)
感覺 - 감각 (sensation)
感覺的 - 감각적인 (sensuous)
錯覺 - 착각 (hallucination, illusion, mistake a for b)
錯覺- - 착각하다 (to mistake a for b, illusion, delusion, to be having illucinations)
知覺 - 지각 (perception)
","冖, 爻, 臼, 見",4,3
刻,각,새길,,"深刻- - 심각하다 (to be serious, grave)
深刻- - 심각해지다 (to get serious)
彫刻 - 조각 (sculpture)
彫刻 - 조각하다 (grave)
時刻 - 시각 (time, hour)
飜刻 - 번각하다 (reprint)
","亠, 刈",4,3
干,간,방패,,"若干 - 약간 (somewhat)
干涉 - 간섭 (interfere, meddle, butt in on, intrude)
欄干 - 난간 (handrail)
如干 - 여간  (some, a little)
干潮 - 간조 (low tide)
","一, 十, 干",4,3
間,간,사이,,"時間 - 시간 (time)
間 - 간 (the interval between)
人間 - 인간 (a person, a human being)
人間的 - 인간적인 (human)
人間性 - 인간성 (human nature)
瞬間 - 순간 (moment)
","日, 門",7II,6
看,간,볼,,"看護師 - 간호사 (nurse)
看護 - 간호하는 (nursing)
看護 - 간호하다 (nurse)
看板 - 간판 (signboard)
看破 - 간파하다 (penetrate)
","一, ノ, 二, 手, 目",4,3
刊,간,새길,,"夕刊 - 석간 (evening paper)
","刈, 干",3II,2
肝,간,간,,"肝 - 간 (liver)
肝炎 - 간염 (hepatitis)
","干, 月",3II,2
幹,간,줄기,,"幹部 - 간부 (executive management)
幹線 - 간선 (trunk line)
","个, 十, 干, 日",3II,2
簡,간,대쪽,,"簡單- - 간단하다 (to be simple)
簡單- - 간단히 (simply speaking)
簡便- - 간편하다 (simplicity, convenience)
簡潔 - 간결 (brevity)
簡素 - 간소 (simplicity)
書簡 - 서간 (epistle)
","日, 竹, 門",4,3
姦,간,간음할,,"姦夫 - 간부 (adulterer)
姦通 - 간통 (adultery)
獸姦 - 수간 (sodomy)
",女,3,2
懇,간,간절할,,"懇請 - 간청 (request)
","犯, 心, 爪, 艮, 豸",3II,2
渴,갈,목마를,,"渴症 - 갈증 (thirst)
",,3,2
甘,감,달,,"甘味― - 감미롭다 (sweet, mellow)
甘草 - 감초 (licorice)
",甘,4,3
減,감,덜,,"減少 - 감소 (reduction)
半減 - 반감하다 (halve)
減速 - 감속 (deceleration)
減壓 - 감압 (decompression)
減法 - 감법 (subtraction)
減退 - 감퇴 (failure)
","亅, 口, 汁, 戈",4II,3II
感,감,느낄,,"感謝 - 감사하다 (thank)
感 - 감 (feelings)
感情 - 감정 (feelings)
感情的 - 감정적 (emotional)
感動 - 감동 (agitate, stir up the emotions)
感動的 - 감동적 (sensational)
","ノ, 口, 心, 戈",6,5
敢,감,감히,,"敢- - 감히 (daringly, boldly)
勇敢 - 용감 (gallantry)
","攵, 耳",4,3
監,감,볼,,"監査 - 감사 (audit)
監督 - 감독 (supervision)
監督 - 감독하다 (control)
監視 - 감시 (surveillance)
監獄 - 감옥 (prison)
監禁 - 감금 (confinement)
","二, 皿, 臣",4II,3II
鑑,감,거울,,"鑑賞 - 감상 (appreciation)
","二, 皿, 臣, 金",3II,2
甲,갑,갑옷,,"甲板 - 갑판 (deck)
甲殼 - 갑각 (crust)
甲蟲 - 갑충 (beetle)
穿山甲 - 천산갑 (pangolin)
還甲 - 환갑 (one's 60th anniversary)
後甲板 - 후갑판 (afterdeck)
","｜, 日, 田",4,3
江,강,강,,"江 - 강 (river)
江南 - 강남 (south of a river)
漢江 - 한강 (Han river)
江原道 - 강원도 (region surrounding Seoul)
江邊 - 강변 (a riverside)
江北 - 강북 (north of the river)
","工, 汁",7II,6
降,강,내릴,,"降下 - 강하 (fall)
降下 - 강하하다 (fall)
降服 - 항복 (surrender)
降水量 - 강수량 (rainfall, precipitaion)
下降 - 하강 (descent)
昇降機 - 승강기 (elevator)
","十, 夂, 阡",4,3
講,강,익힐,,"講和 - 강화 (peace)
講義 - 강의 (a lecture, discourse)
講義- - 강의하다 (to give a lecture)
講師 - 강사 (lecturer)
講堂 - 강당 (auditorium)
講座 - 강좌 (chair)
","一, 冂, 十, 言",4II,3II
強,강,굳셀,,,"厶, 弓, 虫",6,5
康,강,편안할,,"健康 - 건강 (health)
","广, ヨ, 水, 隶",4II,3II
剛,강,굳셀,,"金剛山 - 금강산 (Diamond mountain)
剛毛 - 강모 (bristle)
","八, 冂, 刈, 山, 岡",3II,2
鋼,강,강철,,"鋼鐵 - 강철 (steel)
軟鋼 - 연강 (mild steel)
鋼玉 - 강옥 (corundum)
鑄鋼 - 주강 (cast steel)
","八, 冂, 山, 金, 岡",3II,2
綱,강,벼리,,"大綱 - 대강 (approximately, crude, broad, rough, generally)
","一, 八, 冂, 山, 糸, 岡",3II,2
改,개,고칠,,"改革 - 개혁 (reformation)
改善 - 개선 (improvement)
改訂 - 개정 (revision)
改宗 - 개종 (conversion)
改良 - 개량 (improvement)
改心 - 개심 (reform)
","已, 攵",5,4
皆,개,다,,,"比, 白",3,2
個,개,낱,,"個 - 개 (unit or  piece)
個人 - 개인 (individual)
個人的 - 개인적 (private, personal)
個人 - 개인적인 (private)
個月 - 개월 (each and every month)
個國 - 개국 (the foundation of a country)
","化, 十, 口, 囗",4II,3II
開,개,열,,"公開 - 공개 (opening to the public, making public)
公開- - 공개하다 (open to the public)
開發 - 개발 (exploitation)
展開 - 전개하다 (evolve)
開放 - 개방 (open, throw open)
開放- - 개방되다 (to be opened to the public)
","一, 廾, 門",6,5
介,개,낄,,"紹介 - 소개 (introduction)
紹介 - 소개하다 (intro)
介入 - 개입 (intervention)
媒介 - 매개 (intermediary)
仲介 - 중개 (intermediation)
公認仲介士 - 공인중개사 (real-estate agent)
","个, 八",3II,2
慨,개,슬퍼할,,"憤慨 - 분개 (resentment)
","忙, 牙, 艮",3,2
槪,개,대개,,"槪念 - 개념 (notion)
大槪 - 대개 (mostly, for the most part)
槪要 - 개요 (outline, summary)
槪括 - 개괄 (generalization)
槪略 - 개략 (outline)
",,3II,2
蓋,개,덮을,,"頭蓋 - 두개 (cranium)
天蓋 - 천개 (canopy)
頭蓋骨 - 두개골 (skull)
蓋然性 - 개연성 (probability)
口蓋 - 구개 (palate)
膝蓋骨 - 슬개골 (patella)
","厶, 土, 艾, 皿",3II,2
客,객,손님,,"顧客 - 고객 (customer)
觀客 - 관객 (spectator)
乘客 - 승객 (passenger)
觀光客 - 관광객 (a tourist)
客觀的 - 객관적 (objective)
旅客機 - 여객기 (passenger plane)
","口, 夂, 宀",5II,4II
更,갱,다시,,"變更 - 변경 (change, alteration)
更新 - 경신하다 (set a new record)
","一, ノ, 日",4,3
去,거,갈,,"過去 - 과거 (the past)
大過去 - 대과거 (pluperfect)
除去 - 제거 (removal)
去勢 - 거세 (castration)
消去 - 소거 (elimination)
退去 - 퇴거 (recession)
","厶, 土",5,4
巨,거,클,,"巨大 - 거대 (huge)
巨大- - 거대하다 (huge, gigantic, enormous)
巨人 - 거인 (giant)
巨額 - 거액 (fortune, a large sum of money)
巨匠 - 거장 (maestro)
","匚, 巨",4,3
居,거,살,,"居住 - 거주 (residence)
住居 - 주거 (residence)
居室 - 거실 (living room)
別居 - 별거 (separation)
居住者 - 거주자 (resident)
獨居 - 독거 (solitude)
","十, 口, 尸",4,3
車,거,수레,"""차 차""로도 읽는다.","車 - 차 (a vehicle)
車輛 - 차량 (vehicle)
自動車 - 자동차 (automobile)
列車 - 열차 (train)
自轉車 - 자전거 (bicycle)
汽車 - 기차 (a train)
",車,7II,6
擧,거,들,,"科擧 - 과거 (the state examination)
選擧 - 선거 (election)
列擧 - 열거 (enumeration)
總選擧 - 총선거 (general election)
薦擧 - 천거 (recommendation)
","八, 手, 臼",5,4
距,거,떨어질,,"距離 - 거리 (distance)
距骨 - 거골 (talus)
","匚, 口, 巨, 足",3II,2
拒,거,막을,,"拒否 - 거부 (refusal)
拒否 - 거부하다 (veto)
拒絶 - 거절 (rejection)
","匚, 扎, 巨",4,3
據,거,의거할,,"證據 - 증거 (proof)
根據 - 근거 (foundation)
","匕, 卜, 厂, 扎, 虍, 豕",4,3
建,건,세울,,"建物 - 건물 (building)
建設 - 건설 (construction)
建設的 - 건설적인 (constructive)
建築 - 건축 (construction)
建造 - 건조 (construction)
建立 - 건립 (erection)
","廴, 聿",5,4
乾,건,하늘,,"乾燥 - 건조 (dryness, aridity)
乾燥- - 건조하다 (dry, arid)
乾燥機 - 건조기 (clothes dryer)
乾電池 - 건전지 (dry cell)
乾草 - 건초 (hay)
乾葡萄 - 건포도 (raisin)
","乙, 十, 日",3II,2
件,건,물건,,"件 - 건 (a matter or  an object or  a case)
事件 - 사건 (event)
條件 - 조건 (condition, stipulation)
物件 - 물건 (goods)
無條件 - 무조건 (unconditional)
與件 - 여건 (a postulate, a given condition)
","化, 牛",5,4
健,건,튼튼할,,"健康 - 건강 (health)
健全- - 건전하다 (healthy, sound, wholesome)
","化, 廴, 聿",5,4
傑,걸,뛰어날,,"傑作 - 걸작 (masterpiece)
女傑 - 여걸 (heroine)
","化, 夕, 木, 舛",4,3
乞,걸,빌,,,"一, ノ, 乙",3,2
儉,검,검소할,,"儉約 - 검약 (economy)
","人, 化, 个, 口",4,3
劍,검,칼,,"劍舞 - 검무 (sword dance)
銃劍 - 총검 (bayonet)
","人, 个, 刈, 口","Reading error 劍, 67","Writing error 劍, 67"
檢,검,검사할,,"檢査 - 검사 (examination)
檢證 - 검증 (verification)
檢討 - 검토 (an examination, investigation, study)
點檢 - 점검 (inspection, examination)
檢尿 - 검뇨 (urinalysis)
檢疫 - 검역하다 (quarantine)
","人, 个, 口, 木",4II,3II
格,격,격식,,"價格 - 가격 (cost)
性格 - 성격 (personality; character, nature)
資格 - 자격 (qualification)
合格 - 합격 (pass an examination)
合格- - 합격하다 (to pass an exam)
本格的 - 본격적 (exemplary)
","口, 夂, 木",5II,4II
擊,격,칠,,"攻擊 - 공격 (attack)
攻擊- - 공격하다 (to attack)
衝擊 - 충격 (an impact, a shock)
衝擊的 - 충격적 (shocking)
猛攻擊 - 맹공격 (fierce attack)
",,4,3
激,격,격할,,"急激- - 급격히 (rapidly, suddenly)
激情 - 격정 (passion)
激怒 - 격노 (rage)
激怒 - 격노하다 (rage)
","汁, 攵, 方, 白",4,3
隔,격,"사이, 뜰",,"間隔 - 간격 (space)
隔離 - 격리 (isolation)
","一, 儿, 冂, 口, 阡, 鬲",3II,2
犬,견,개,,"犬齒 - 견치 (eyetooth)
狂犬病 - 광견병 (rabies)
","丶, 大, 犬",4,3
見,견,볼,,"發見 - 발견 (discovery)
發見- - 발견하다 (to discover)
發見- - 발견되다 (to be discovered)
意見 - 의견 (view)
會見 - 회견 (interview)
會見者 - 회견자 (interviewer)
","儿, 目, 見",5II,4II
堅,견,굳을,,"堅果 - 견과 (nut)
","又, 土, 臣",4,3
肩,견,어깨,,"肩章 - 견장 (shoulder strap)
","戸, 月",3,2
絹,견,비단,,,"口, 月, 糸",3,
遣,견,보낼,,,"一, ｜, 込, 口",3,2
牽,견,이끌,,"牽制 - 견제 (diversion)
牽制 - 견제하다 (contain)
牽牛星 - 견우성 (Altair)
","亠, 冖, 厶, 牛",3,2
決,결,결단할,,"決定 - 결정 (decision)
解決 - 해결 (solution)
判決 - 판결 (sentence)
決濟 - 결제 (payment)
決- - 결코 (never; by no means)
對決 - 대결 (showdown)
","二, 人, 大, 汁",5II,4II
結,결,맺을,,"結果 - 결과 (result)
結果的 - 결과적 (consequentially, resultingly)
結局 - 결국 (after all; in the end)
結婚 - 결혼 (marriage)
連結 - 연결 (connection, linking)
連結- - 연결하다 (connect, attach)
","口, 士, 糸",5II,4II
潔,결,깨끗할,,"簡潔 - 간결 (brevity)
純潔 - 순결 (chastity)
潔白 - 결백 (purity)
","亠, 刀, 土, 汁, 糸",4II,3II
缺,결,이지러질,,"缺乏 - 결핍 (want)
缺點 - 결점 (weakness)
缺如 - 결여 (privation)
缺席 - 결석 (absence)
缺損 - 결손 (deficit)
","ノ, 二, 人, 凵, 大, 缶","Reading error 缺, 83","Writing error 缺, 83"
兼,겸,겸할,,,"一, ｜, 八, ヨ",3II,2
謙,겸,겸손할,,"謙遜 - 겸손 (humility)
謙讓 - 겸양 (modesty)
","｜, 八, ヨ, 言",3II,2
京,경,서울,,"京畿道 - 경기도 (region surrounding Seoul)
東京 - 도쿄(동경) (Tokyo)
北京 - 북경 (Beijing)
","亠, 口, 小",6,5
景,경,볕,,"景氣 - 경기 (the business market's state)
背景 - 배경 (background)
風景 - 풍경 (scenery)
前景 - 전경 (foreground)
光景 - 광경 (scene)
景致 - 경치 (view, scene, scenery)
","亠, 口, 小, 日",5,4
輕,경,가벼울,,"輕蔑 - 경멸 (disdain)
輕蔑 - 경멸하다 (scorn)
輕騎兵 - 경기병 (light cavalry)
輕音樂 - 경음악 (light music)
","川, 工, 車",5,4
經,경,지날/글,,"經濟 - 경제 (economy)
經濟的 - 경제적인 (economic)
神經 - 신경 (nerve)
經驗 - 경험 (experience)
經驗 - 경험하다 (undergo)
經驗的 - 경험적인 (experiential)
","川, 工, 糸",,3II
庚,경,별,,,"人, 广, ヨ","Reading error 庚, 90","Writing error 庚, 90"
耕,경,"밭, 갈",,"耕作 - 경작 (cultivation)
耕作 - 경작하다 (culture)
耕耘機 - 경운기 (cultivator)
耕作者 - 경작자 (cultivator)
","｜, 亅, 八, 土, 木, 井, 耒",3II,2
敬,경,공경할,,"尊敬 - 존경 (reverence)
尊敬 - 존경하다 (reverence)
敬意 - 경의 (respect)
敬意 - 경의하다 (regard)
敬語 - 경어 (honorific)
","勹, 口, 艾, 攵",5II,4II
驚,경,놀랄,,,"勹, 口, 夂, 艾, 攵, 馬",4,3
慶,경,경사,,"慶州 - 경주 (region surrounding Seoul)
慶尙道 - 경상도 (Kyungsan province)
慶祝 - 경축 (celebration)
慶賀 - 경하 (congratulation)
國慶日 - 국경일 (national holiday)
","冖, 夂, 广, 心",4II,3II
競,경,겨룰,,"競技 - 경기 (game)
競爭 - 경쟁 (contest)
競爭 - 경쟁하는 (rival)
競爭 - 경쟁하다 (rival)
競走 - 경주 (race)
競馬 - 경마 (horse racing)
","儿, 口, 立",5,4
竟,경,마침내,,,"儿, 日, 立, 音",3,2
境,경,지경,,"境遇 - 경우 (a case; an instance)
環境 - 환경 (environment)
生活環境 - 생활환경 (living environment)
境界 - 경계 (boundary)
國境 - 국경 (national border)
環境汚染 - 환경오염 (environmental pollution)
","儿, 土, 日, 立, 音",4II,3II
鏡,경,거울,,"眼鏡 - 안경 (spectacle)
望遠鏡 - 망원경 (telescope)
單眼鏡 - 단안경 (monocle)
萬華鏡 - 만화경 (kaleidoscope)
胃鏡 - 위경 (gastroscope)
潛望鏡 - 잠망경 (periscope)
","儿, 日, 立, 金, 音",4,3
頃,경,이랑/잠깐,,,"匕, 貝, 頁",3II,2
傾,경,기울,,"傾向 - 경향 (tendency)
","化, 匕, 貝, 頁",4,3
硬,경,굳을,,"硬度 - 경도 (hardness)
硬貨 - 경화 (coin)
硬水 - 경수 (hard water)
硬口盖 - 경구개 (hard palate)
硬玉 - 경옥 (jadeite)
","一, ノ, 口, 日, 石",3II,2
警,경,깨우칠/경계할,,"警察 - 경찰 (police)
警戒 - 경계 (vigilance)
警告 - 경고 (warning)
警察署 - 경찰서 (police station)
警官 - 경관 (policeman)
警察官 - 경찰관 (a policeman)
","勹, 口, 夂, 艾, 攵, 言",4II,3II
徑,경,지름길,,"半徑 - 반경 (radius)
直徑 - 직경 (diameter)
","一, 川, 工, 彳",3II,2
卿,경,벼슬,,,"卩, 艮",3,2
癸,계,북방,,,"二, 大, 癶",3,2
季,계,계절,,"季節 - 계절 (season)
四季節 - 사계절 (the four seasons)
","子, 禾",4,3
界,계,지경,,"世界 - 세계 (world)
世界的 - 세계적 (international)
業界 - 업계 (industry)
境界 - 경계 (boundary)
限界 - 한계 (limit)
世界觀 - 세계관 (a worldview)
","个, 儿, 田",6II,5II
計,계,셀,,"計劃 - 계획 (scheme)
計劃 - 계획하다 (scheme)
設計 - 설계 (plan)
計算 - 계산하다 (count)
計器 - 계기 (gauge)
統計 - 통계 (statistics)
","十, 言",6II,5II
溪,계,시내,,"溪谷 - 계곡 (valley)
","大, 幺, 汁, 爪",3II,2
鷄,계,닭,,"鷄卵 - 계란 (an egg)
蔘鷄湯 - 삼계탕 (chicken soup)
鬪鷄 - 투계 (fighting cock)
","大, 幺, 杰, 爪, 鳥",4,3
系,계,이을,,"體系 - 체계 (system)
體系的 - 체계적 (systematic, organizational)
系統 - 계통 (system)
系圖 - 계도 (pedigree)
山系 - 산계 (mountain system)
","ノ, 糸",4,3
係,계,맬,,"關係 - 관계 (relation)
人間關係 - 인간관계 (human relations)
關係者 - 관계자 (the interested or affected parties)
利害關係 - 이해관계 (interest)
","ノ, 化, 糸",4II,3II
戒,계,경계할,,"警戒 - 경계 (vigilance)
懲戒 - 징계 (discipline)
懲戒 - 징계하다 (discipline)
戒嚴令 - 계엄령 (martial law)
訓戒 - 훈계 (admonition)
齋戒 - 재계 (purification)
","廾, 戈",4,3
械,계,기계,,"機械 - 기계 (machine)
","廾, 戈, 木",3II,2
繼,계,이을,,"繼續 - 계속 (continuation)
中繼 - 중계 (relay)
中繼 - 중계하다 (relay)
繼承 - 계승 (succession)
後繼者 - 후계자 (replacement)
中繼放送 - 중계방송 (relay, transmission)
","｜, 匚, 幺, 糸",4,3
契,계,맺을,,"契約 - 계약 (compact)
契約 - 계약하다 (covenant)
契機 - 계기 (chance)
假契約 - 가계약 (a temporary contract (before a formal contract is entered into law))
","亠, 刀, 土, 大",3II,2
桂,계,계수나무,,"桂皮 - 계피 (cinnamon)
","土, 木",3II,2
啓,계,열,,"啓示 - 계시 (revelation)
啓蒙 - 계몽 (enlightenment)
天啓 - 천계 (revelation)
","口, 戸, 攵",3II,2
階,계,섬돌,,"段階 - 단계 (gradation)
階段 - 계단 (a staircase, a set of stairs)
階級 - 계급 (rank)
階層 - 계층 (a class, social stratum)
階乘 - 계승 (factorial)
長音階 - 장음계 (major scale)
","阡, 比, 白",4,3
繫,계,맬,,,,3,2
古,고,옛,,"古典 - 고전 (classic)
古典 - 고전적인 (classic)
古宮 - 고궁 (an ancient palace)
古物 - 고물 (antique)
","十, 口",6,5
故,고,옛,,"事故 - 사고 (accident)
故鄕 - 고향 (hometown)
故障 - 고장 (failure)
交通事故 - 교통사고 (traffic accident)
","十, 口, 攵",4II,3II
固,고,굳을,,"固定 - 고정 (fixation)
固執 - 고집 (persistence)
頑固 - 완고 (obstinacy)
","十, 口, 囗",5,4
苦,고,쓸,,"苦悶 - 고민 (worry,  anguish)
苦悶- - 고민하다 (be in anguish, worried)
苦痛 - 고통 (pain)
苦生 - 고생 (a hard life; privation)
苦生- - 고생하다 (to suffer, to have trials; to do something you don't want to do)
苦難 - 고난 (agony, hardship)
","十, 口, 艾",6,5
考,고,생각할,,"思考 - 사고 (thought, contemplation)
參考- - 참고하다 (to refer, consult)
考慮- - 고려하다 (regard or  respect)
再考 - 재고 (reconsideration)
考案 - 고안 (device)
考案 - 고안하다 (project)
",老,5,4
高,고,높을,,"最高 - 최고 (the best)
高麗 - 고려 (region surrounding Seoul)
高等學校 - 고등학교 (high school)
高等學生 - 고등학생 (high school student)
高度 - 고도 (height)
高級 - 고급 (high rank; first class)
","亠, 冂, 口, 高",6II,5II
告,고,알릴,,"報告 - 보고 (information)
被告 - 피고 (defendant)
廣告 - 광고 (advertisement)
申告 - 신고 (a statement, declaration)
申告- - 신고하다 (to state, declare)
警告 - 경고 (warning)
","ノ, 口, 土",5II,4II
枯,고,마를,,,"十, 口, 木","Reading error 枯, 128","Writing error 枯, 128"
姑,고,시어미,,"姑母 - 고모 (a paternal aunt)
姑母夫 - 고모부 (the husband of one's paternal aunt)
","十, 口, 女",3II,2
庫,고,곳집,,"冷藏庫 - 냉장고 (freezer)
倉庫 - 창고 (warehouse)
金庫 - 금고 (safe, valut)
格納庫 - 격납고 (hangar)
","广, 車",4,3
孤,고,외로울,,"孤立 - 고립 (isolation)
孤兒 - 고아 (orphan)
孤獨 - 고독 (solitude)
","子, 瓜",4,3
鼓,고,북,,"鼓手 - 고수 (drummer)
鼓舞 - 고무 (inspiration)
鼓吹 - 고취 (inspiration)
鼓膜 - 고막 (eardrum)
","八, 十, 又, 口, 士, 支, 豆",3II,2
稿,고,볏짚,,"原稿 - 원고 (a manuscript)
投稿 - 투고 (contribution)
草稿 - 초고 (draft)
原稿紙 - 원고지 (squared manuscript paper)
","亠, 冂, 口, 禾, 高","Reading error 稿, 133","Writing error 稿, 133"
顧,고,돌아볼,,"愛顧 - 애고 (patronage)
顧慮 - 고려 (consideration)
顧客 - 고객 (customer)
顧問 - 고문 (adviser)
回顧 - 회고 (recollection)
","戸, 貝, 隹, 頁",3,2
谷,곡,골,,"溪谷 - 계곡 (valley)
峽谷 - 협곡 (glen)
","个, 八, 口, 谷",3II,2
曲,곡,굽을,,"歪曲 - 왜곡 (distortion)
曲線 - 곡선 (curve)
編曲 - 편곡 (arrangement)
交響曲 - 교향곡 (symphony)
協奏曲 - 협주곡 (concerto)
歌曲 - 가곡 (song)
","｜, 日",5,4
穀,곡,곡식,,"穀物 - 곡물 (grain)
穀食 - 곡식 (cereals, grains)
","冖, 士, 殳, 禾",4,3
哭,곡,울,,,"口, 犬",3II,2
困,곤,곤할,,"疲困 - 피곤 (fatigue, exhaustion)
疲困- - 피곤하다 (to be very tired, exhausted)
困難 - 곤란 (difficulty)
","囗, 木",4,3
坤,곤,땅,,,"｜, 土, 日, 田",3,2
骨,골,뼈,,"頭蓋骨 - 두개골 (skull)
骨盤 - 골반 (pelvis)
遺骨 - 유골 (remain)
骸骨 - 해골 (skeleton)
骨髓 - 골수 (marrow)
骨格 - 골격 (frame, framework, skeleton)
","冂, 冖, 月",4,3
工,공,장인,,"工夫 - 공부 (study)
工夫- - 공부하다 (to study)
工事 - 공사 (construction work; engineering work)
工場 - 공장 (workshop)
工學 - 공학 (engineering)
加工 - 가공 (treatment)
",工,7II,6
功,공,공,,"成功 - 성공 (success)
成功 - 성공하다 (make)
成功的 - 성공적 (successfully)
功績 - 공적 (merit)
","力, 工",6II,5II
空,공,빌,,"空港 - 공항 (airport)
空間 - 공간 (space)
空洞 - 공동 (cavity)
仁川空港 - 인천공항 (Incheon International Airport)
航空 - 항공 (airport, airline)
空氣 - 공기 (atmosphere)
","儿, 宀, 工, 穴",7II,6
共,공,함께,,"共同 - 공동 (association,  union,  collaboration)
公共 - 공공 (public, common)
共通 - 공통 (commonness)
共通的 - 공통적 (commonly)
共通點 - 공통점 (to share something in common)
共謀 - 공모 (complicity)
",八,6II,5II
公,공,공변될,,"公開 - 공개 (opening to the public, making public)
公開- - 공개하다 (open to the public)
公演 - 공연 (a public performance)
公演- - 공연하다 (perform)
公演- - 공연되다 (to give a public performance, to put on a play)
公式 - 공식 (formula)
","八, 厶",6II,5II
孔,공,구멍,,"孔雀 - 공작 (peacock)
瞳孔 - 동공 (pupil)
氣孔 - 기공 (stoma)
穿孔 - 천공 (perforation)
細孔 - 세공 (pore)
多孔性 - 다공성 (porosity)
","乙, 子",4,3
供,공,이바지할,,"提供 - 제공 (offer)
提供 - 제공하다 (proffer)
提供業體 - 제공업체 (provider)
供給 - 공급 (supply)
供給 - 공급하다 (supply)
供給者 - 공급자 (provider)
","一, ｜, 二, 化, 八",3II,2
恭,공,공손할,,,"八, 心, 井",3II,2
攻,공,칠,,"攻擊 - 공격 (attack)
攻擊- - 공격하다 (to attack)
專攻 - 전공 (major, specialty)
專攻- - 전공하다 (to major in sth)
猛攻擊 - 맹공격 (fierce attack)
","工, 攵",4,3
恐,공,두려울,,"恐怖 - 공포 (terror)
恐龍 - 공룡 (dinosaur)
恐慌 - 공황 (panic)
高所恐怖症 - 고소공포증 (acrophobia, fear of heights)
恐水病 - 공수병 (hydrophobia)
","丶, 几, 工, 心",3II,2
貢,공,바칠,,"貢獻 - 공헌 (service)
","工, 貝",3II,2
果,과,열매,,"結果 - 결과 (result)
結果的 - 결과적 (consequentially, resultingly)
效果 - 효과 (effect)
效果的 - 효과적인 (effective)
沙果 - 사과 (an apple)
果然 - 과연 (indeed; sure enough; just as one thought)
","｜, 木, 田",6II,5II
課,과,공부할/과정,,"課 - 과 (a lesson; a section; a department)
課程 - 과정 (course)
課長 - 과장 (the department/section head)
學課 - 학과 (lesson)
課題 - 과제 (task, assignment, homework)
賦課 - 부과 (imposition, levy, charge)
","木, 田, 言",5II,4II
